round_epochs;val_loss;val_acc;loss;acc;first_Conv2D_dim;encoded_activation;batch_size
1;0.06631529980532819;0.8079650874141663;0.10474953654970949;0.8044078809276455;16;<function relu at 0x00000200E426D840>;200
1;0.0856391989502562;0.8086417229925001;0.16591502239628383;0.8026930468987078;16;<function relu at 0x00000200E426D840>;400
1;0.06426467432153835;0.8086336234518738;0.10611793859146726;0.807386358399657;32;<function relu at 0x00000200E426D840>;200
1;0.0731782062043274;0.8086417229925001;0.1161209558375359;0.8074028576215561;32;<function relu at 0x00000200E426D840>;400
